Tiempo (s)	Tasa de mensajes (msg/s)	Número de workers
0	        50	                        1
1	        50	                        1
2	        100                         1
3	        100                         1
4	        300                         1
5	        300	                        1
6	        500                         2
7	        500                         2
8	        700                         2
9	        700                         2
10	        700                         2
11	        700                         2
12	        700                         2
13	        700                         2
14	        700                         2
